LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
431700                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.58                3.44                3.45                0.58                -30.872000          -53.115000          F 
430570                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.45                0                   0                   0.45                -28.208000          -53.487000          F 
432215                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.32                0                   0                   0.32                -29.103000          -52.956000          F 
431535                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.26                3.82                3.82                0.26                -28.742000          -53.095000          F 
431973                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.18                0                   0                   0.18                -27.787000          -53.937000          F 
430220                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.49                0                   0                   0.49                -27.669000          -54.110000          F 
430410                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.24                0                   0                   0.24                -28.886000          -52.999000          F 
430673                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.34                0                   0                   0.34                -27.506000          -54.361000          F 
430420                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             12                  2.12                5.66                5.66                2.12                -29.669000          -52.789000          F 
431780                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             5                   0.94                5.29                5.29                0.94                -27.851000          -53.777000          F 
431910                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   0.39                7.73                7.73                0.39                -27.707000          -53.969000          F 
431000                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   1.40                1.43                1.43                1.40                -28.628000          -53.090000          F 
431301                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.19                10.29               10.29               0.19                -27.607000          -54.107000          F 
431670                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.56                0                   0                   0.56                -28.358000          -53.247000          F 
430055                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.12                0                   0                   0.12                -28.773000          -52.990000          F 
431125                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.44                0                   0                   0.44                -29.235000          -52.796000          F 
432023                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.20                4.88                4.88                0.20                -27.635000          -53.946000          F 
432253                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.84                2.39                2.39                0.84                -29.604000          -52.683000          F 
431417                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.13                0                   0                   0.13                -31.733000          -53.584000          F 
430600                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.95                2.11                2.11                0.95                -27.500000          -54.101000          F 
